41,38,38,35,36,38,38,40,39,39,38,42,39,38,41,39,40,38,38,39,39,37,37,40,38,41,43,43,44,41,42,40,41,39,39,41,41,44,44,42,43,43,41,40,39,40,41,41,39,39
41,38,38,35,37,38,38,40,39,39,38,42,40,38,42,40,41,38,38,40,39,38,37,40,38,42,43,43,44,41,42,41,41,39,39,41,41,44,44,42,43,43,42,40,40,40,41,42,40,39
41,38,38,35,37,38,38,40,39,39,38,42,40,39,42,40,41,38,39,40,39,38,37,41,38,42,43,43,45,42,43,41,42,39,39,41,41,44,45,42,43,43,42,40,40,40,41,42,40,39
41,38,38,35,37,38,38,40,39,39,38,43,40,39,42,40,41,38,39,40,39,38,37,41,38,42,43,43,45,42,43,41,42,39,39,41,42,44,45,42,43,43,42,40,40,40,42,42,40,39
41,38,38,35,37,38,38,40,39,39,38,42,40,39,42,40,41,38,39,40,39,38,37,41,38,42,43,43,45,42,43,41,42,39,39,41,42,44,45,42,43,43,42,40,40,40,42,42,40,39
41,38,38,35,37,38,39,41,39,39,38,43,40,39,42,40,41,39,39,40,39,38,37,41,38,42,43,43,45,42,43,41,42,40,40,41,42,44,45,42,43,44,42,41,40,40,42,42,40,39
41,38,38,35,37,38,38,40,39,39,38,42,40,39,42,40,41,38,39,40,39,38,37,41,38,42,43,43,45,42,43,41,42,39,39,41,42,44,45,42,43,43,42,40,40,40,42,42,40,39
41,38,38,35,37,38,39,41,39,39,38,43,40,39,42,40,41,39,39,40,39,38,37,41,38,42,43,43,45,42,43,41,42,40,40,41,42,44,45,42,43,44,42,41,40,40,42,42,40,39
41,38,38,35,37,38,39,41,40,39,39,43,40,39,42,40,41,39,39,40,40,38,37,41,38,42,43,43,45,42,43,41,42,40,40,42,42,44,45,42,44,44,42,41,40,40,42,42,40,40
41,38,38,35,37,38,39,41,40,39,39,43,40,39,42,40,41,39,39,40,40,38,37,41,38,42,43,43,45,42,43,41,42,40,40,42,42,44,45,42,44,44,42,41,40,40,42,42,40,40
41,38,38,35,37,38,39,41,39,39,38,43,40,39,42,40,41,39,39,40,39,38,37,41,38,42,43,43,45,42,43,41,42,40,39,41,42,44,45,42,43,44,42,41,40,40,42,42,40,39
41,38,38,35,37,38,38,40,39,39,38,42,40,38,42,40,41,38,38,40,39,38,37,40,38,42,43,43,44,41,42,41,41,39,39,41,41,44,44,42,43,43,42,40,40,40,41,42,40,39
41,38,38,35,36,38,38,40,39,39,38,42,39,38,41,39,40,38,38,39,39,37,37,40,38,41,43,43,44,41,42,40,41,39,39,41,41,44,44,42,43,43,41,40,39,40,41,41,39,39
41,38,38,35,36,38,38,40,39,39,38,42,39,38,41,39,40,38,38,39,39,37,37,40,38,41,43,43,44,41,42,40,41,39,39,41,41,44,44,42,43,43,41,40,39,40,41,41,39,39
41,38,38,35,36,38,38,40,39,39,38,42,39,38,41,39,40,38,38,39,39,37,37,40,38,41,43,43,44,41,42,40,41,39,39,41,41,44,44,42,43,43,41,40,39,40,41,41,39,39
