0.854833644,0.515151418,0.001,0.457776551,1,0.001,0,0,0.88470907,0.720839104,0.518594628,0.849157912,0.76752415,0.763398361,0.435924483,0,0.638412482,0.5,0.390231475
0.096395234,0.277398244,0.001,0.239819325,0.455921281,0.001,0.085549653,0.008422757,0.993174777,0.195659248,0.559000911,0.336614315,0.597191118,0.618894139,0.14665492,0.934951812,0.653703489,0.466055256,0.289439047
0.083449381,0.519106149,0.001,0.902570788,0.221189901,0.007228978,0.017557936,0.025121112,0.001,0.595270771,0.271790941,0,0.545844983,0.404957094,0,0.929115298,0.739645829,0.428529113,0.306235512
0.27657909,0.001,0.001,0.802797015,0.788066891,0.001776223,0.083863909,0.00894394,0.851501478,0.392105836,0.177033984,0.464575714,0.969078261,0.623430952,0.347600393,0.46318223,0.911247983,0.5,0.469021154
0.246771738,0.908525345,0.001,0.953855246,0.225710079,0.019055364,0.08851204,0.034751891,0.767693498,0.051518602,0.04971044,0.002897874,0.901161855,0.775356842,0.050487622,0.672747255,0.508438197,0.49480747,0.331155133
0.394247895,0.244602016,0.001,0.492632979,0.930297531,0.055758693,0.016849582,0.099873925,1,1,0.514330276,0.720834409,0.576033486,7.91E-04,0.410092002,0.999256141,0.154295905,0.485294961,0.445735615
0.43166313,0.91301801,0.004972879,0.90127814,0.217940732,0.004641029,0.068765006,0.032596141,0.990946944,0.083425098,0.047063467,0,0.166976873,0.982750414,0.156929295,0.675475142,0.375134031,0.5,0.5
0.571224366,0.339268643,0.001,0.654533603,0.204397807,0.001000325,0.095109033,0.002959685,1,0.761055667,0.836212799,0.522307353,0.196588968,0.699653407,0.009510697,0.490542549,0.784685625,0.433898287,0.488529815
0.195105869,0.470728539,0.002656764,0.348802011,0.637275534,0.002703416,0.08456952,0.016734287,0.997286325,0.632698703,0.947573248,0.519896366,0.614136517,0.67471029,0.017774323,0.764864692,0.645099585,0.495759528,0.498913845
0.365561765,0.22711926,0.001184609,0.68765878,0.291944301,0.018859225,0.099250076,0.016596702,0.569988345,0.715593668,0.717465777,0.189162981,0.102240383,0.468728916,0.035625319,0.01982138,0.431895422,0.496265022,0.430266206
0.061319095,0.846534285,0.001,0.918911595,0.976240309,0.007545784,0.02165554,0.027942628,0.001082557,0.586000492,0.271790941,0.050647001,0.545844983,0.404957094,0.060799811,0.945854137,0.277365484,0.497966554,0.477316088
0.526334294,0.362406555,0.005038243,0.108826151,0.075507008,0.010263811,0.087610713,0.034387204,0.421552177,0.494399632,0.665915872,0.644584982,0.279357101,0.047925614,0.046423029,0.908398971,0.835622162,0.5,0.397154165
0.156066693,0.859498234,0.001050129,0.924711061,0.418043391,0.008388442,0.059850895,3.91E-04,0.001082557,0.586000492,0.262834205,0.473308144,0.545844983,0.404957094,0.060799811,0.508116164,0.29517524,0.497966554,0.473394509
0.224375786,0.695741807,0.001,0.998780768,0.311117368,0.008505524,0.1,0.04187799,0.0530767,0.234111736,0.107365016,0.056133869,0.153039906,0.838068046,0,0.427582264,0.321387168,0.377414707,0.2751667
0.326523696,0.876373047,0.001,0.969357414,0.778916759,0.001,0.095132624,0.024493458,0.020055354,0.223393867,0.082930364,0.812020237,0.580156612,0.398704229,0.05983987,0.652660327,0.641105161,0.280674417,0.478514727
0.021641259,0.585163487,0.006063464,0.062020688,0.597307954,0.001404162,0.07662967,0.038574427,0.042096918,0.007969103,0.045327915,0.023819338,0.890430578,0.660732311,0.003942614,0.420209407,0.667047863,0.460461911,0.5
0.501878766,0.019943173,0.001024655,0.001,0.854251479,0.008334043,0.099506942,0.005010317,1,0.01953629,0.535153314,1,0.360906386,0.254272081,5.72E-04,0.990058857,0.302324773,0.106737453,0.218705261
0.193975545,0.564464872,0.001376006,0.918304161,0.155936909,0.008824778,0.025450329,0.022378564,0.04532537,0.481450427,0.159606167,0.055610456,0.596158867,0.439788537,0,0.90598652,0.679949608,0.452346806,0.36926333
0.307878007,0.818441712,0.001751521,0.858308687,0.001,0.01070635,0.092352399,0.008975438,0.88100556,0.165315436,0.584264957,0.454128559,0.550285487,0.57147022,0.25858023,0.718265291,0.769892961,0.5,0.406354981
0.120813493,0.881820982,0.001001604,0.853086104,0.56471795,0.002271581,0.048528735,0.051639401,0.001,0.674080148,0,0.722117083,0.970134971,0.478665994,0.003142062,0.676101401,0.636610055,0.406699901,0.482014352
0.293284682,0.401836352,0.001,0.570400743,0.877012634,0.001,0.095732925,0.021584831,1,0.20510346,0.754061942,0.476149251,0.046330303,0.867202384,0.383013113,0.416295053,0.806374445,0.418577896,0.23120432
0.685703762,0.602312826,0.001,0.570400743,0.764648908,0.001,0.095732925,0.048716369,1,0.20510346,0.848065426,0.476149251,0.09478773,0.867202384,0.383013113,0.416295053,0.806374445,0.418577896,0.23120432
