0reliability,1reliability,0afford,1afford
1,1,0.0334819,0.0230849
1,0.996997,0.0342783,0.0231347
0.998999,0.998999,0.0350593,0.0231839
0.998999,0.994995,0.035823,0.0232326
0.997998,0.993994,0.0365896,0.0232811
0.997998,0.993994,0.0416229,0.02602
0.998999,0.990991,0.0426159,0.0270373
0.998999,0.98999,0.0376557,0.028211
0.997998,0.995996,0.0382937,0.0286398
0.998999,0.991992,0.0390121,0.029349
0.996997,0.987988,0.0397049,0.0308683
0.995996,0.988989,0.0409831,0.0322795
0.994995,0.994995,0.0415369,0.0326231
0.996997,0.993994,0.0433939,0.034254
0.995996,0.992993,0.0443872,0.0348947
0.993994,0.992993,0.0446701,0.035074
0.990991,0.990991,0.0460613,0.0357489
0.990991,0.991992,0.0468427,0.0363378
0.987988,0.986987,0.0473131,0.0368634
0.981982,0.98999,0.0477842,0.0372219
0.984985,0.98999,0.0482635,0.0374812
0.986987,0.987988,0.0486649,0.0377943
0.982983,0.98999,0.049246,0.0380254
0.984985,0.988989,0.0492497,0.0382305
0.990991,0.983984,0.0494811,0.0386045
0.983984,0.986987,0.0499917,0.0385775
0.985986,0.98999,0.0501575,0.0386679
0.987988,0.993994,0.0499403,0.0386679
0.981982,0.991992,0.0501155,0.0385764
0.986987,0.992993,0.0502405,0.0387861
0.983984,0.995996,0.0504448,0.039353
0.977978,0.993994,0.0506999,0.0391153
0.977978,0.990991,0.0509979,0.039436
0.971972,0.990991,0.050993,0.0394426
0.971972,0.993994,0.0511502,0.0391105
0.968969,0.993994,0.0510208,0.0392906
0.96997,0.992993,0.0504978,0.0391426
0.975976,0.990991,0.0512321,0.0395945
0.975976,0.98999,0.0511318,0.0396257
0.965966,0.990991,0.0514036,0.0397157
