REL,RF,NPC,PFC,WCC,,,,,,REL,RF,NPC,PFC,WCC
0.953953954,0.054354354,215644291.3,0.093248785,0,,,,,40,0.968968969,0.048573574,307119746.2,0.086374948,0.001850713
0.957957958,0.051476476,340987064.3,0.033276662,0.000865887,,,,,63,0.967967968,0.052502503,307205168.1,0.084280612,0.00696293
0.956956957,0.048748749,300834974.2,0.044755231,0.003182984,,,,,192,0.96996997,0.048973974,306047321.6,0.092628745,0
0.958958959,0.053853854,411092295.3,0.033672587,0.002318947,,,,,214,0.968968969,0.048698699,306467813.6,0.083385265,0.010987818
0.891891892,0.049724725,189091657.2,0.026934365,0.007940747,,,,,250,0.962962963,0.048648649,310247742.4,0.078751028,0.014825688
0.95995996,0.268418418,188726127.8,0.077490167,0.015319151,,,,,,,,,,
0.96996997,0.909634635,232438768.8,0.089079526,0.019150683,,,,,,,,,,
0.95995996,0.257757758,189933957,0.090525155,0.009725647,,,,,,,,,,
0.93993994,0.049324324,258067909.7,0.023621861,0.008490364,,,,,,,,,,
0.926926927,0.04954955,229940508.7,0.018888247,0.019498906,,,,,,,,,,
0.956956957,0.048748749,298333720.2,0.024864941,0.013840243,,,,,,,,,,
0.958958959,0.075700701,289802189.8,0.021885617,0.01499934,,,,,,,,,,
0.94994995,0.051101101,189245676.6,0.096106179,0,,,,,,,,,,
0.948948949,0.476326326,138989744.4,0.088712463,0.002148922,,,,,,,,,,
0.912912913,0.0498999,208132890.5,0.031099196,0.002992023,,,,,,,,,,
0.912912913,0.346296296,0,0.091619665,0.00976214,,,,,,,,,,
0.958958959,0.074624625,299033908.3,0.017821194,0.016149809,,,,,,,,,,
0.927927928,0.107132132,69955970.69,0.095996056,0,,,,,,,,,,
0.952952953,0.062637638,202534996.1,0.097219299,0,,,,,,,,,,
0.955955956,0.077627628,232438768.8,0.088721874,0.008880743,,,,,,,,,,
0.915915916,0.739464464,0,0.08803475,0.017824885,,,,,,,,,,
0.912912913,0.357582583,0,0.079695675,0.015018325,,,,,,,,,,
0.940940941,0.099674675,144548799.1,0.111660959,0,,,,,,,,,,
0.926926927,0.09507007,99129722.74,0.078734092,0.01482704,,,,,,,,,,
0.934934935,0.425750751,76660888.8,0.090209051,0.010201324,,,,,,,,,,
0.963963964,0.253628629,231495570.3,0.090113894,0.00994174,,,,,,,,,,
0.926926927,0.110510511,69955970.69,0.07728426,0.014830562,,,,,,,,,,
0.952952953,0.062587588,202534996.1,0.091244866,0.006482547,,,,,,,,,,
0.94994995,0.835985986,135661252.9,0.104226295,0,,,,,,,,,,
0.926926927,0.049624625,228351523.7,0.009651567,0.021205189,,,,,,,,,,
0.8998999,0.0495996,199865907.7,0.012816894,0.021205189,,,,,,,,,,
0.926926927,0.104379379,69955970.69,0.096213716,0.004006549,,,,,,,,,,
0.90990991,0.175850851,0,0.110790118,0,,,,,,,,,,
0.972972973,0.90467968,297764193.5,0.114420513,0.003795169,,,,,,,,,,
0.93993994,0.049374374,258067909.7,0.028943637,0.003579984,,,,,,,,,,
0.957957958,0.05508008,302981544.3,0.039222477,0.004356983,,,,,,,,,,
0.945945946,0.545845846,129839105.5,0.088797306,0.002397365,,,,,,,,,,
0.961961962,0.439914915,195320476.8,0.092043842,0.006431759,,,,,,,,,,
0.968968969,0.048573574,307119746.2,0.086374948,0.001850713,,,,,,,,,,
0.953953954,0.894419419,166639901.4,0.094142969,0.003339445,,,,,,,,,,
0.94994995,0.058533534,186507643.1,0.092984871,0.002597397,,,,,,,,,,
0.954954955,0.049024024,284571837,0.027014709,0.004780486,,,,,,,,,,
0.964964965,0.468343343,224855771.1,0.102057295,0,,,,,,,,,,
0.955955956,0.418443443,169933225.7,0.089387639,0.00539411,,,,,,,,,,
0.940940941,0.129354354,127355022.6,0.113137989,0,,,,,,,,,,
0.950950951,0.420745746,157975526.7,0.094843919,0,,,,,,,,,,
0.967967968,0.839139139,287975539.7,0.039291699,0.007942136,,,,,,,,,,
0.957957958,0.075800801,289802189.8,0.028638028,0.00383842,,,,,,,,,,
0.94994995,0.326376376,147277124,0.092294727,0.004093502,,,,,,,,,,
0.951951952,0.050525526,279657684.6,0.029618096,0.003573356,,,,,,,,,,
0.957957958,0.05487988,308670514.1,0.018519528,0.015664001,,,,,,,,,,
0.962962963,0.492267267,198944868.5,0.093086844,0.004369528,,,,,,,,,,
