0_Descoberto(id0),1_Torto / Santa Maria(id1),0_Corumba IV(id2),1_Lago Paranoa(id3)
1,1,1,1
1,1,1,1
1,1,1,1
0.998999,1,1,1
0.996997,1,1,1
0.994995,1,1,1
0.996997,1,1,1
0.995996,0.998999,1,1
0.996997,0.997998,1,1
0.991992,0.996997,1,1
0.98999,0.993994,0.998999,1
0.990991,0.996997,1,1
0.995996,0.997998,1,1
0.990991,0.996997,1,1
0.986987,0.995996,1,1
0.98999,0.995996,1,1
0.980981,0.997998,1,1
0.977978,0.998999,1,1
0.981982,0.996997,1,1
0.973974,0.995996,1,1
0.963964,0.996997,0.998999,1
0.94995,0.996997,1,1
0.948949,0.998999,1,1
0.934935,0.995996,1,1
0.927928,0.995996,1,1
0.918919,0.997998,0.998999,1
0.912913,0.997998,1,1
0.8999,1,1,1
0.892893,0.998999,1,1
0.88989,0.998999,1,1
0.864865,1,1,1
0.848849,0.998999,1,1
0.860861,0.995996,1,1
0.860861,0.998999,1,1
0.838839,1,0.998999,1
0.841842,1,0.998999,1
0.841842,1,1,1
0.851852,0.998999,1,1
0.84985,0.997998,1,1
0.835836,0.997998,0.998999,1
