Realization	utility	week	infra.
0	0	261	7
0	0	1408	12
0	0	1669	8
1	0	261	7
1	0	1408	12
1	0	1669	8
2	0	261	7
2	0	1408	12
2	0	1669	8
3	0	261	7
3	0	1408	12
3	0	1669	8
4	0	261	7
4	0	1304	12
4	0	1565	8
5	0	261	7
5	0	1408	12
5	0	1669	8
6	0	261	7
6	0	1408	12
6	0	1669	8
7	0	261	7
7	0	1408	12
7	0	1669	8
8	0	261	7
8	0	1408	12
8	0	1669	8
9	0	261	7
9	0	1408	12
9	0	1669	8
10	0	261	7
10	0	1408	12
10	0	1669	8
11	0	261	7
11	0	1200	12
11	0	1617	8
12	0	261	7
12	0	1408	12
12	0	1669	8
13	0	261	7
13	0	1408	12
13	0	1669	8
14	0	261	7
14	0	1408	12
14	0	1669	8
15	0	261	7
15	0	1408	12
15	0	1669	8
16	0	261	7
16	0	1408	12
16	0	1669	8
17	0	261	7
17	0	1408	12
17	0	1669	8
18	0	261	7
18	0	1408	12
18	0	1669	8
19	0	261	7
19	0	1408	12
19	0	1669	8
20	0	261	7
20	0	1408	12
20	0	1669	8
21	0	261	7
21	0	1408	12
21	0	1669	8
22	0	261	7
22	0	1408	12
22	0	1669	8
23	0	261	7
23	0	1408	12
23	0	1669	8
24	0	261	7
24	0	1408	12
24	0	1669	8
25	0	261	7
25	0	1148	12
25	0	1617	8
26	0	261	7
26	0	1408	12
26	0	1669	8
27	0	261	7
27	0	1408	12
27	0	1669	8
28	0	261	7
28	0	1408	12
28	0	1669	8
29	0	261	7
29	0	1408	12
29	0	1669	8
30	0	261	7
30	0	1408	12
30	0	1669	8
31	0	261	7
31	0	1408	12
31	0	1669	8
32	0	261	7
32	0	1408	12
32	0	1669	8
33	0	261	7
33	0	1408	12
33	0	1669	8
34	0	261	7
34	0	1408	12
34	0	1669	8
35	0	261	7
35	0	1408	12
35	0	1669	8
36	0	261	7
36	0	1408	12
36	0	1669	8
37	0	261	7
37	0	1408	12
37	0	1669	8
38	0	261	7
38	0	1408	12
38	0	1669	8
39	0	261	7
39	0	1408	12
39	0	1669	8
40	0	261	7
40	0	1408	12
40	0	1669	8
41	0	261	7
41	0	1408	12
41	0	1669	8
42	0	261	7
42	0	1408	12
42	0	1669	8
43	0	261	7
43	0	1408	12
43	0	1669	8
44	0	261	7
44	0	1148	12
44	0	1617	8
45	0	261	7
45	0	1408	12
45	0	1669	8
46	0	261	7
46	0	1408	12
46	0	1669	8
47	0	261	7
47	0	1408	12
47	0	1669	8
48	0	261	7
48	0	1408	12
48	0	1669	8
49	0	261	7
49	0	1408	12
49	0	1669	8
50	0	261	7
50	0	1408	12
50	0	1669	8
51	0	261	7
51	0	1408	12
51	0	1669	8
52	0	261	7
52	0	1408	12
52	0	1669	8
53	0	261	7
53	0	1408	12
53	0	1669	8
54	0	261	7
54	0	1408	12
54	0	1669	8
