0reliability,1reliability,0afford,1afford,0severity,1severity
1,1,0.036949,0.0243647,0,0
1,1,0.0375884,0.0247863,0,0
1,1,0.0382033,0.0251918,0,0
1,1,0.0388045,0.0255882,0,0
1,1,0.0394459,0.0260112,0,0
0.97,1,0.0400411,0.0264037,10,0
0.96,1,0.0406641,0.0268145,14,0
0.96,1,0.041256,0.0272048,10,0
0.97,1,0.0418712,0.0276105,9,0
0.96,1,0.0424775,0.0280103,15,0
0.93,1,0.0431353,0.028444,16,0
0.91,1,0.0436758,0.0288005,15,0
0.96,1,0.0442668,0.0291901,9,0
0.91,1,0.0448373,0.0295664,14,0
0.88,1,0.0450476,0.0296988,34,0
0.92,1,0.0454484,0.0299045,13,0
0.88,1,0.0458853,0.0301885,31,0
0.84,1,0.046319,0.0304596,17,0
0.84,1,0.0466574,0.0304384,27,0
0.83,1,0.0470147,0.0305146,52,0
0.79,1,0.0473524,0.0307802,20,0
0.78,1,0.0470707,0.0309154,25,0
0.85,1,0.0474112,0.0308947,52,0
0.83,1,0.0477385,0.031109,32,0
0.74,1,0.0480455,0.0313083,43,0
0.78,1,0.0483167,0.0314925,40,0
0.79,1,0.0485623,0.0316618,46,0
0.78,1,0.0487875,0.0318163,52,0
0.75,1,0.0487032,0.0319561,52,0
0.77,1,0.0488817,0.032081,43,0
0.71,1,0.0490403,0.032191,52,0
0.75,1,0.0491336,0.0322862,38,0
0.69,1,0.0492482,0.0323666,45,0
0.59,0.99,0.0493438,0.0324321,52,5
0.64,0.99,0.0494201,0.0324826,52,5
0.69,0.98,0.049477,0.032518,52,13
0.73,0.98,0.0495148,0.0325387,52,52
0.76,0.98,0.0495337,0.0325446,52,6
0.79,0.99,0.0495347,0.0325369,22,5
0.76,0.99,0.0495133,0.0325147,43,5
