0cont_fund,0ins_pout,0ins_price,0infra_npv,0debt_serv,0gross_rev,0cont_contrib,0drought_cost,0water_price
0,0,0,0,0.000499492,1.93724e+07,-947567,947567,1.39182e+07
0,0,0,0,0,1.93783e+07,-947567,947567,1.39182e+07
0,0,0,0,0,1.93843e+07,-947567,947567,1.39182e+07
0,0,0,0,0,1.93903e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.12794e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.1286e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.12926e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.12992e+07,-947567,947567,1.39182e+07
0,0,0,0,0,1.86832e+07,-947567,947567,1.39182e+07
0,0,0,0,0,1.86889e+07,-947567,947567,1.39182e+07
0,0,0,0,0,1.86946e+07,-947567,947567,1.39182e+07
0,0,0,0,0,1.87004e+07,-947567,947567,1.39182e+07
0,0,0,0,0,1.87061e+07,-947567,947567,1.39182e+07
0,0,0,0,0,1.93655e+07,-947567,947567,1.39182e+07
0,0,0,0,0,1.93715e+07,-947567,947567,1.39182e+07
0,0,0,0,0,1.93775e+07,-947567,947567,1.39182e+07
0,0,0,0,0,1.93834e+07,-947567,947567,1.39182e+07
0,0,0,0,0,1.91341e+07,-947567,947567,1.39182e+07
0,0,0,0,0,1.914e+07,-947567,947567,1.39182e+07
0,0,0,0,0,1.91459e+07,-947567,947567,1.39182e+07
0,0,0,0,0,1.91518e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.00407e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.00469e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.0053e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.00592e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.00654e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.01665e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.01727e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.01789e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.01851e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.06361e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.06425e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.06489e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.06552e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.20866e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.20934e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.21003e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.21072e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.2114e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.13486e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.13552e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.13618e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.13684e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.07054e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.07118e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.07182e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.07246e+07,-947567,947567,1.39182e+07
0,0,0,0,0,1.90957e+07,-947567,947567,1.39182e+07
0,0,0,0,0,1.91015e+07,-947567,947567,1.39182e+07
0,0,0,0,0,1.91074e+07,-947567,947567,1.39182e+07
0,0,0,0,0,1.91132e+07,-947567,947567,1.39182e+07
0,0,0,0,0,1.91191e+07,-947567,947567,1.39182e+07
0,0,0,0,0.000499492,1.96845e+07,-947567,947567,1.39182e+07
0,0,0,0,0,1.96903e+07,-947567,947567,1.39182e+07
0,0,0,0,0,1.96962e+07,-947567,947567,1.39182e+07
0,0,0,0,0,1.97021e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.16238e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.16303e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.16368e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.16433e+07,-947567,947567,1.39182e+07
0,0,0,0,0,1.89816e+07,-947567,947567,1.39182e+07
0,0,0,0,0,1.89872e+07,-947567,947567,1.39182e+07
0,0,0,0,0,1.89929e+07,-947567,947567,1.39182e+07
0,0,0,0,0,1.89985e+07,-947567,947567,1.39182e+07
0,0,0,0,0,1.90041e+07,-947567,947567,1.39182e+07
0,0,0,0,0,1.96748e+07,-947567,947567,1.39182e+07
0,0,0,0,0,1.96806e+07,-947567,947567,1.39182e+07
0,0,0,0,0,1.96865e+07,-947567,947567,1.39182e+07
0,0,0,0,0,1.96923e+07,-947567,947567,1.39182e+07
0,0,0,0,0,1.94385e+07,-947567,947567,1.39182e+07
0,0,0,0,0,1.94443e+07,-947567,947567,1.39182e+07
0,0,0,0,0,1.94501e+07,-947567,947567,1.39182e+07
0,0,0,0,0,1.94559e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.03598e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.03659e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.0372e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.0378e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.03841e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.04867e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.04928e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.04989e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.0505e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.09635e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.09697e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.0976e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.09823e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.24378e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.24445e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.24512e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.2458e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.24647e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.1686e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.16925e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.1699e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.17055e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.1031e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.10373e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.10436e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.10499e+07,-947567,947567,1.39182e+07
0,0,0,0,0,1.93932e+07,-947567,947567,1.39182e+07
0,0,0,0,0,1.9399e+07,-947567,947567,1.39182e+07
0,0,0,0,0,1.94047e+07,-947567,947567,1.39182e+07
0,0,0,0,0,1.94104e+07,-947567,947567,1.39182e+07
0,0,0,0,0,1.94162e+07,-947567,947567,1.39182e+07
0,0,0,0,0.000499492,1.99909e+07,-947567,947567,1.39182e+07
0,0,0,0,0,1.99966e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.00024e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.00081e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.19619e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.19682e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.19746e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.19809e+07,-947567,947567,1.39182e+07
0,0,0,0,0,1.92745e+07,-947567,947567,1.39182e+07
0,0,0,0,0,1.928e+07,-947567,947567,1.39182e+07
0,0,0,0,0,1.92855e+07,-947567,947567,1.39182e+07
0,0,0,0,0,1.92911e+07,-947567,947567,1.39182e+07
0,0,0,0,0,1.92966e+07,-947567,947567,1.39182e+07
0,0,0,0,0,1.99782e+07,-947567,947567,1.39182e+07
0,0,0,0,0,1.99839e+07,-947567,947567,1.39182e+07
0,0,0,0,0,1.99896e+07,-947567,947567,1.39182e+07
0,0,0,0,0,1.99954e+07,-947567,947567,1.39182e+07
0,0,0,0,0,1.97371e+07,-947567,947567,1.39182e+07
0,0,0,0,0,1.97428e+07,-947567,947567,1.39182e+07
0,0,0,0,0,1.97484e+07,-947567,947567,1.39182e+07
0,0,0,0,0,1.97541e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.06729e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.06788e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.06847e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.06907e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.06966e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.08007e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.08066e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.08126e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.08186e+07,-947567,947567,1.39182e+07
0,0,0,0,0,2.12844e+07,-947567,947567,1.39182e+07
