0st_vol,0capacity,0net_inf,0st_rof,0lt_rof,0rest_demand,0unrest_demand,0unfulf_demand,0wastewater,0treat_capacity,0water_price,0gross_rev,0drought_cost,0cont_contrib,0debt_serv,0infra_npv,1st_vol,1capacity,1net_inf,1st_rof,1lt_rof,1rest_demand,1unrest_demand,1unfulf_demand,1wastewater,1treat_capacity,1water_price,1gross_rev,1drought_cost,1cont_contrib,1debt_serv,1infra_npv
85.139,85.139,3.08486,0.02,0,2.32738,2.54872,0,0.421612,4.47552,3.94875e+06,9.19023e+06,605720,300473,0,0,99.3022,98.274,2.59786,0,1,1.71466,1.49331,0,1.38389,2.1168,8.20631e+06,1.4071e+07,471196,352912,0,0
85.139,85.139,2.74731,0.01,0,2.3284,2.54937,0,0.43615,4.47552,3.94875e+06,9.19428e+06,604683,300549,0,0,99.292,98.274,2.39031,0,1,1.71466,1.49369,0,1.32475,2.1168,8.20631e+06,1.4071e+07,470389,353002,0,0
85.139,85.139,2.58697,0.01,0,2.32943,2.55002,0,0.436343,4.47552,3.94875e+06,9.19833e+06,603645,300625,0,0,99.1451,98.274,2.29562,0,1,1.71466,1.49407,0,1.32475,2.1168,8.20631e+06,1.4071e+07,469582,353092,0,0
84.9903,85.139,2.42098,0.01,0,2.33046,2.55066,0,0.436535,4.47552,3.94875e+06,9.20239e+06,602608,300702,0,0,99.0276,98.274,2.16373,0,1,1.71466,1.49445,0,1.32475,2.1168,8.20631e+06,1.4071e+07,468775,353181,0,0
84.5682,85.139,2.11887,0.02,0,2.30863,2.52846,0,0.436727,4.47552,3.94875e+06,9.11621e+06,601570,298084,0,0,98.6853,98.274,2.08672,0,1,1.7568,1.53697,0,1.32475,2.1168,8.20631e+06,1.44168e+07,467968,363230,0,0
83.9381,85.139,1.93921,0.02,0,2.35179,2.5291,0,0.432638,4.47552,3.94875e+06,9.28665e+06,485212,298160,0,0,98.3919,98.274,1.8523,0,1,1.71467,1.53736,0,1.3573,2.1168,8.20631e+06,1.40711e+07,377452,363322,0,0
83.1808,85.139,1.78083,0.02,0,2.35283,2.52975,0,0.440726,4.47552,3.94875e+06,9.29072e+06,484145,298236,0,0,98.0029,98.274,1.81471,0,1,1.71467,1.53775,0,1.32475,2.1168,8.20631e+06,1.40711e+07,376622,363414,0,0
82.3348,85.139,1.66638,0.03,0,2.35386,2.53039,0,0.44092,4.47552,3.94875e+06,9.2948e+06,483077,298311,0,0,97.4572,98.274,1.74986,0,1,1.71467,1.53814,0,1.32475,2.1168,8.20631e+06,1.40711e+07,375791,363507,0,0
81.3934,85.139,1.615,0.03,0,2.41396,2.5901,0,0.441113,4.47552,3.94875e+06,9.53213e+06,482009,305351,0,0,96.883,98.274,1.60213,0,1,1.75227,1.57613,0,1.32475,2.1168,8.20631e+06,1.43796e+07,374960,372484,0,0
80.4171,85.139,1.60298,0.03,0,2.4526,2.59076,0,0.452376,4.47552,3.94875e+06,9.68472e+06,378061,305428,0,0,96.2999,98.274,1.58809,0,1,1.71468,1.57653,0,1.3538,2.1168,8.20631e+06,1.40712e+07,294098,372578,0,0
