0st_vol,0capacity,0net_inf,0st_rof,0lt_rof,0rest_demand,0unrest_demand,0unfulf_demand,0wastewater,0treat_capacity,0cont_fund,0ins_pout,0ins_price,0infra_npv,0debt_serv
0,0,0,0,0,0,0,0,0,0,3.01711e+12,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3.01733e+12,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3.0175e+12,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3.01764e+12,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3.01771e+12,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3.01791e+12,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3.018e+12,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3.01809e+12,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3.01819e+12,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3.01835e+12,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3.01842e+12,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3.0185e+12,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3.01857e+12,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3.01865e+12,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3.01875e+12,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3.01885e+12,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3.01895e+12,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3.0196e+12,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3.01972e+12,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3.01979e+12,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3.01988e+12,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3.01995e+12,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3.02005e+12,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3.02015e+12,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3.02025e+12,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3.02033e+12,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3.02041e+12,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3.02054e+12,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3.02066e+12,0,0,0,0
