0st_vol,0capacity,0net_inf,0st_rof,0lt_rof,0rest_demand,0unrest_demand,0unfulf_demand,0wastewater,0treat_capacity,1st_vol,1capacity,1net_inf,1st_rof,1lt_rof,1rest_demand,1unrest_demand,1unfulf_demand,1wastewater,1treat_capacity
84.9028,85.139,2.56329,0.03,0,2.59383,2.59383,0,0.485946,4.47552,99.3022,98.274,3.37954,0,0,1.5784,1.5784,0,1.21912,2.1168
84.4952,85.139,2.33266,0.03,0,2.59456,2.59456,0,0.486083,4.47552,99.3022,98.274,2.9579,0,0,1.57884,1.57884,0,1.21947,2.1168
83.9515,85.139,2.32937,0.03,0,2.76862,2.76862,0,0.486221,4.47552,99.3022,98.274,3.80573,0,0,1.71526,1.71526,0,1.21981,2.1168
82.6057,85.139,1.50663,0.03,0,2.76941,2.76941,0,0.51884,4.47552,99.3022,98.274,3.15057,0,0,1.71574,1.71574,0,1.32521,2.1168
81.4389,85.139,1.67832,0.03,0,2.77019,2.77019,0,0.518987,4.47552,99.3022,98.274,3.25052,0,0,1.71623,1.71623,0,1.32558,2.1168
81.2221,85.139,2.69049,0.03,0,2.77097,2.77097,0,0.519134,4.47552,99.3022,98.274,3.91804,0,0,1.71672,1.71672,0,1.32596,2.1168
81.6562,85.139,3.36479,0.03,0,2.77176,2.77176,0,0.519281,4.47552,99.3022,98.274,4.06699,0,0,1.7172,1.7172,0,1.32633,2.1168
80.9506,85.139,2.10352,0.03,0,2.68795,2.68795,0,0.519427,4.47552,99.2663,98.274,3.0151,0,0,1.63504,1.63504,0,1.32671,2.1168
79.8881,85.139,1.74087,0.03,0,2.68871,2.68871,0,0.503721,4.47552,99.3022,98.274,4.82903,0,0,1.6355,1.6355,0,1.26323,2.1168
78.5477,85.139,1.45391,0.03,0,2.68947,2.68947,0,0.503864,4.47552,99.108,98.274,2.57075,0,0,1.63597,1.63597,0,1.26359,2.1168
77.7656,85.139,2.0721,0.04,0,2.69023,2.69023,0,0.504006,4.47552,99.0697,98.274,2.94155,0,0,1.63643,1.63643,0,1.26395,2.1168
80.2308,85.139,5.60296,0.04,0,2.62147,2.62147,0,0.504149,4.47552,99.3022,98.274,7.66218,0,0,1.56158,1.56158,0,1.2643,2.1168
81.7476,85.139,4.62739,0.03,0,2.62222,2.62222,0,0.491264,4.47552,99.3022,98.274,5.72475,0,0,1.56202,1.56202,0,1.20647,2.1168
82.9781,85.139,4.26356,0.02,0,2.62296,2.62296,0,0.491403,4.47552,99.3022,98.274,5.80051,0,0,1.56246,1.56246,0,1.20682,2.1168
85.139,85.139,5.43049,0.02,0,2.6237,2.6237,0,0.491542,4.47552,99.3022,98.274,7.30871,0,0,1.5629,1.5629,0,1.20716,2.1168
85.139,85.139,8.14288,0.02,0,2.42679,2.42679,0,0.491681,4.47552,99.3022,98.274,10.659,0,0,1.40631,1.40631,0,1.2075,2.1168
85.139,85.139,5.09652,0.03,0,2.42748,2.42748,0,0.45478,4.47552,99.3022,98.274,11.6043,0,0,1.40671,1.40671,0,1.08652,2.1168
85.139,85.139,6.15655,0.03,0,2.42816,2.42816,0,0.454909,4.47552,99.3022,98.274,13.4692,0,0,1.40711,1.40711,0,1.08682,2.1168
85.139,85.139,5.31522,0.04,0,2.42885,2.42885,0,0.455038,4.47552,99.3022,98.274,9.09586,0,0,1.4075,1.4075,0,1.08713,2.1168
85.139,85.139,5.12013,0.05,0,2.42954,2.42954,0,0.455166,4.47552,99.3022,98.274,5.61724,0,0,1.4079,1.4079,0,1.08744,2.1168
85.139,85.139,5.3893,0.05,0,2.50634,2.50634,0,0.455295,4.47552,99.3022,98.274,6.41247,0,0,1.45383,1.45383,0,1.08775,2.1168
85.139,85.139,7.33675,0.05,0,2.50703,2.50703,0,0.469689,4.47552,99.3022,98.274,7.27707,0,0,1.45423,1.45423,0,1.12323,2.1168
85.139,85.139,5.01787,0.05,0,2.50772,2.50772,0,0.469817,4.47552,99.3022,98.274,5.66171,0,0,1.45463,1.45463,0,1.12354,2.1168
85.139,85.139,3.4196,0.05,0,2.5084,2.5084,0,0.469946,4.47552,99.3022,98.274,4.60874,0,0,1.45502,1.45502,0,1.12384,2.1168
85.139,85.139,3.9666,0.05,0,2.75382,2.75382,0,0.470075,4.47552,99.3022,98.274,5.54654,0,0,1.62655,1.62655,0,1.12415,2.1168
85.139,85.139,5.17002,0.05,0,2.75458,2.75458,0,0.516066,4.47552,99.3022,98.274,5.69603,0,0,1.627,1.627,0,1.25667,2.1168
85.139,85.139,4.5053,0.05,0,2.75533,2.75533,0,0.516207,4.47552,99.3022,98.274,5.86376,0,0,1.62744,1.62744,0,1.25702,2.1168
85.139,85.139,5.08121,0.05,0,2.75608,2.75608,0,0.516349,4.47552,99.3022,98.274,6.27495,0,0,1.62789,1.62789,0,1.25736,2.1168
85.139,85.139,5.76924,0.05,0,2.40739,2.40739,0,0.51649,4.47552,99.3022,98.274,6.00212,0,0,1.39843,1.39843,0,1.25771,2.1168
85.139,85.139,6.00435,0.05,0,2.40805,2.40805,0,0.451145,4.47552,99.3022,98.274,5.2114,0,0,1.39881,1.39881,0,1.08042,2.1168
85.139,85.139,8.20108,0.05,0,2.40871,2.40871,0,0.451269,4.47552,99.3022,98.274,7.41051,0,0,1.39919,1.39919,0,1.08072,2.1168
85.139,85.139,10.2711,0.05,0,2.40937,2.40937,0,0.451392,4.47552,99.3022,98.274,8.72779,0,0,1.39958,1.39958,0,1.08102,2.1168
85.139,85.139,9.54008,0.05,0,2.41003,2.41003,0,0.451516,4.47552,99.3022,98.274,7.88882,0,0,1.39996,1.39996,0,1.08131,2.1168
85.139,85.139,11.3752,0.05,0,2.49877,2.49877,0,0.45164,4.47552,99.3022,98.274,9.31337,0,0,1.45666,1.45666,0,1.08161,2.1168
85.139,85.139,7.19613,0.05,0,2.49946,2.49946,0,0.46827,4.47552,99.3022,98.274,6.21248,0,0,1.45706,1.45706,0,1.12542,2.1168
85.139,85.139,5.76693,0.05,0,2.50014,2.50014,0,0.468398,4.47552,99.3022,98.274,5.47558,0,0,1.45746,1.45746,0,1.12573,2.1168
85.139,85.139,5.03429,0.05,0,2.50082,2.50082,0,0.468526,4.47552,99.3022,98.274,5.0797,0,0,1.45786,1.45786,0,1.12603,2.1168
85.139,85.139,5.95507,0.05,0,2.46703,2.46703,0,0.468655,4.47552,99.3022,98.274,6.17497,0,0,1.43636,1.43636,0,1.12634,2.1168
85.139,85.139,5.26758,0.05,0,2.46771,2.46771,0,0.462322,4.47552,99.3022,98.274,5.46237,0,0,1.43675,1.43675,0,1.10973,2.1168
85.139,85.139,4.59528,0.05,0,2.46838,2.46838,0,0.462448,4.47552,99.3022,98.274,4.56577,0,0,1.43715,1.43715,0,1.11004,2.1168
85.139,85.139,4.15664,0.04,0,2.46906,2.46906,0,0.462575,4.47552,99.3022,98.274,4.12332,0,0,1.43754,1.43754,0,1.11034,2.1168
85.139,85.139,3.80266,0.04,0,2.58689,2.58689,0,0.462702,4.47552,99.3022,98.274,4.10978,0,0,1.51568,1.51568,0,1.11064,2.1168
85.139,85.139,4.08743,0.03,0,2.5876,2.5876,0,0.484784,4.47552,99.3022,98.274,4.4101,0,0,1.51609,1.51609,0,1.17101,2.1168
85.139,85.139,3.5718,0.03,0,2.58831,2.58831,0,0.484916,4.47552,99.3022,98.274,4.12786,0,0,1.51651,1.51651,0,1.17133,2.1168
85.139,85.139,3.35434,0.02,0,2.58902,2.58902,0,0.485049,4.47552,99.3022,98.274,3.94105,0,0,1.51692,1.51692,0,1.17165,2.1168
85.139,85.139,3.18411,0.02,0,2.58973,2.58973,0,0.485182,4.47552,99.3022,98.274,3.72308,0,0,1.51734,1.51734,0,1.17197,2.1168
85.139,85.139,2.88854,0.02,0,2.56723,2.56723,0,0.485315,4.47552,99.3022,98.274,4.22642,0,0,1.56054,1.56054,0,1.17229,2.1168
84.9006,85.139,2.55842,0.02,0,2.56794,2.56794,0,0.4811,4.47552,99.3022,98.274,3.78137,0,0,1.56097,1.56097,0,1.20567,2.1168
84.4883,85.139,2.36819,0.03,0,2.56864,2.56864,0,0.481231,4.47552,99.3022,98.274,3.54453,0,0,1.56139,1.56139,0,1.206,2.1168
84.0157,85.139,2.29053,0.03,0,2.56934,2.56934,0,0.481363,4.47552,99.3022,98.274,3.28799,0,0,1.56182,1.56182,0,1.20633,2.1168
83.3413,85.139,2.12852,0.03,0,2.63003,2.63003,0,0.481495,4.47552,99.3022,98.274,3.27086,0,0,1.60042,1.60042,0,1.20666,2.1168
82.57,85.139,1.99696,0.03,0,2.63075,2.63075,0,0.492867,4.47552,99.3022,98.274,2.92185,0,0,1.60086,1.60086,0,1.23649,2.1168
81.7184,85.139,1.9033,0.03,0,2.63147,2.63147,0,0.493002,4.47552,99.3022,98.274,3.1494,0,0,1.6013,1.6013,0,1.23683,2.1168
81.1423,85.139,2.19226,0.03,0,2.63219,2.63219,0,0.493137,4.47552,99.3022,98.274,3.23318,0,0,1.60174,1.60174,0,1.23716,2.1168
80.0879,85.139,1.85665,0.03,0,2.80875,2.80875,0,0.493272,4.47552,99.2519,98.274,2.8745,0,0,1.74012,1.74012,0,1.2375,2.1168
78.8214,85.139,1.64286,0.03,0,2.80952,2.80952,0,0.526359,4.47552,99.3022,98.274,3.09219,0,0,1.74059,1.74059,0,1.34441,2.1168
77.7601,85.139,1.83644,0.04,0,2.81028,2.81028,0,0.526503,4.47552,99.3022,98.274,3.09509,0,0,1.74107,1.74107,0,1.34478,2.1168
76.2162,85.139,1.35313,0.04,0,2.81105,2.81105,0,0.526647,4.47552,99.3015,98.274,2.76896,0,0,1.74155,1.74155,0,1.34515,2.1168
74.7965,85.139,1.46508,0.04,0,2.81182,2.81182,0,0.526791,4.47552,99.3022,98.274,2.77767,0,0,1.74202,1.74202,0,1.34552,2.1168
73.9441,85.139,2.05989,0.04,0,2.72678,2.72678,0,0.526936,4.47552,99.3022,98.274,3.74625,0,0,1.65866,1.65866,0,1.34589,2.1168
72.9702,85.139,1.88831,0.04,0,2.72752,2.72752,0,0.510998,4.47552,99.3022,98.274,4.1881,0,0,1.65911,1.65911,0,1.28148,2.1168
72.0077,85.139,1.89455,0.05,0,2.72827,2.72827,0,0.511138,4.47552,99.3022,98.274,3.87439,0,0,1.65957,1.65957,0,1.28183,2.1168
71.4639,85.139,2.39691,0.05,0,2.72902,2.72902,0,0.511278,4.47552,99.3022,98.274,3.7757,0,0,1.66002,1.66002,0,1.28218,2.1168
72.037,85.139,3.56444,0.06,0,2.65925,2.65925,0,0.511418,4.47552,99.3022,98.274,3.90648,0,0,1.58408,1.58408,0,1.28253,2.1168
70.7903,85.139,1.66034,0.06,0,2.65997,2.65997,0,0.498343,4.47552,99.1353,98.274,2.89357,0,0,1.58451,1.58451,0,1.22386,2.1168
69.827,85.139,1.95338,0.06,0,2.6607,2.6607,0,0.498479,4.47552,99.2851,98.274,2.23013,0,0,1.58494,1.58494,0,1.22419,2.1168
72.4138,85.139,5.62574,0.06,0,2.66143,2.66143,0,0.498615,4.47552,99.3022,98.274,7.00363,0,0,1.58538,1.58538,0,1.22453,2.1168
74.7081,85.139,5.23517,0.06,0,2.46167,2.46167,0,0.498752,4.47552,99.3022,98.274,6.1193,0,0,1.42652,1.42652,0,1.22486,2.1168
75.7241,85.139,3.83932,0.03,0,2.46234,2.46234,0,0.461316,4.47552,99.3022,98.274,4.28465,0,0,1.42691,1.42691,0,1.10213,2.1168
79.6151,85.139,6.99485,0.02,0,2.46301,2.46301,0,0.461442,4.47552,99.3022,98.274,6.25866,0,0,1.4273,1.4273,0,1.10243,2.1168
82.4952,85.139,5.96283,0.02,0,2.46369,2.46369,0,0.461569,4.47552,99.3022,98.274,7.38092,0,0,1.42769,1.42769,0,1.10273,2.1168
85.139,85.139,5.94083,0.02,0,2.46436,2.46436,0,0.461695,4.47552,99.3022,98.274,5.22762,0,0,1.42808,1.42808,0,1.10304,2.1168
85.139,85.139,4.71554,0.02,0,2.54225,2.54225,0,0.461821,4.47552,99.3022,98.274,5.91727,0,1,1.47466,1.47466,0,1.10334,2.1168
85.139,85.139,4.5082,0.03,0,2.54292,2.54292,0,0.476417,4.47552,99.3022,98.274,4.83778,0,1,1.47505,1.47505,0,1.13932,2.1168
85.139,85.139,6.50645,0.03,0,2.54359,2.54359,0,0.476543,4.47552,99.3022,98.274,5.45456,0,1,1.47544,1.47544,0,1.13962,2.1168
85.139,85.139,9.06364,0.04,0,2.54426,2.54426,0,0.476669,4.47552,99.3022,98.274,12.0084,0,1,1.47583,1.47583,0,1.13992,2.1168
85.139,85.139,10.3072,0.05,0,2.79316,2.79316,0,0.476795,4.47552,99.3022,98.274,15.2765,0,1,1.64979,1.64979,0,1.14022,2.1168
85.139,85.139,8.5547,0.05,0,2.7939,2.7939,0,0.523439,4.47552,99.3022,98.274,12.3475,0,1,1.65022,1.65022,0,1.27463,2.1168
85.139,85.139,7.05939,0.05,0,2.79464,2.79464,0,0.523577,4.47552,99.3022,98.274,9.8323,0,1,1.65066,1.65066,0,1.27496,2.1168
85.139,85.139,8.98178,0.05,0,2.79538,2.79538,0,0.523716,4.47552,99.3022,98.274,12.5578,0,1,1.6511,1.6511,0,1.2753,2.1168
85.139,85.139,10.794,0.05,0,2.44169,2.44169,0,0.523854,4.47552,99.3022,98.274,17.7246,0,1,1.41835,1.41835,0,1.27564,2.1168
85.139,85.139,9.40675,0.05,0,2.44234,2.44234,0,0.457573,4.47552,99.3022,98.274,11.711,0,1,1.41873,1.41873,0,1.09582,2.1168
85.139,85.139,10.5632,0.05,0,2.44299,2.44299,0,0.457694,4.47552,99.3022,98.274,13.9831,0,1,1.4191,1.4191,0,1.09611,2.1168
85.139,85.139,9.09342,0.05,0,2.44363,2.44363,0,0.457815,4.47552,99.3022,98.274,11.0026,0,1,1.41948,1.41948,0,1.0964,2.1168
85.139,85.139,11.4273,0.05,0,2.44428,2.44428,0,0.457937,4.47552,99.3022,98.274,10.9333,0,1,1.41985,1.41985,0,1.09669,2.1168
85.139,85.139,8.42743,0.05,0,2.53426,2.53426,0,0.458058,4.47552,99.3022,98.274,10.2717,0,1,1.47735,1.47735,0,1.09698,2.1168
85.139,85.139,6.77815,0.05,0,2.53493,2.53493,0,0.47492,4.47552,99.3022,98.274,9.34294,0,1,1.47774,1.47774,0,1.1414,2.1168
85.139,85.139,6.77108,0.05,0,2.5356,2.5356,0,0.475045,4.47552,99.3022,98.274,9.26527,0,1,1.47813,1.47813,0,1.1417,2.1168
85.139,85.139,6.96632,0.05,0,2.53627,2.53627,0,0.475171,4.47552,99.3022,98.274,9.08735,0,1,1.47852,1.47852,0,1.142,2.1168
85.139,85.139,7.19069,0.05,0,2.50197,2.50197,0,0.475296,4.47552,99.3022,98.274,7.87692,0,1,1.4567,1.4567,0,1.14231,2.1168
85.139,85.139,5.22649,0.05,0,2.50263,2.50263,0,0.46887,4.47552,99.3022,98.274,5.55354,0,1,1.45709,1.45709,0,1.12545,2.1168
85.139,85.139,4.6665,0.05,0,2.5033,2.5033,0,0.468994,4.47552,99.3022,98.274,4.48228,0,1,1.45747,1.45747,0,1.12575,2.1168
85.139,85.139,4.32615,0.05,0,2.50396,2.50396,0,0.469118,4.47552,99.3022,98.274,4.38533,0,1,1.45786,1.45786,0,1.12604,2.1168
85.139,85.139,4.02697,0.04,0,2.62343,2.62343,0,0.469242,4.47552,99.3022,98.274,4.60618,0,1,1.53709,1.53709,0,1.12634,2.1168
85.139,85.139,4.06127,0.04,0,2.62412,2.62412,0,0.491631,4.47552,99.3022,98.274,3.68006,0,1,1.53749,1.53749,0,1.18755,2.1168
85.139,85.139,3.4233,0.04,0,2.62482,2.62482,0,0.491761,4.47552,99.3022,98.274,3.32006,0,1,1.5379,1.5379,0,1.18787,2.1168
85.139,85.139,3.2582,0.02,0,2.62551,2.62551,0,0.491891,4.47552,99.3022,98.274,3.13276,0,1,1.5383,1.5383,0,1.18818,2.1168
85.139,85.139,3.14604,0.02,0,2.62621,2.62621,0,0.492021,4.47552,99.3022,98.274,3.34387,0,1,1.53871,1.53871,0,1.18849,2.1168
