0cont_fund,0ins_pout,0ins_price,0infra_npv,0debt_serv,0gross_rev,0cont_contrib,0drought_cost
3.2044e+07,0,0,0,0,8.06843e+06,142966,0
3.2187e+07,0,0,0,0,8.071e+06,143012,0
3.23301e+07,0,0,0,0,8.07357e+06,143057,0
3.24732e+07,0,0,0,0,8.07615e+06,143103,0
3.26201e+07,0,0,0,0,8.15746e+06,146883,0
3.2767e+07,0,0,0,0,8.16006e+06,146930,0
3.2914e+07,0,0,0,0,8.16266e+06,146977,0
3.3061e+07,0,0,0,0,8.16527e+06,147024,0
3.32116e+07,0,0,0,0,8.36309e+06,150655,0
3.33623e+07,0,0,0,0,8.36575e+06,150703,0
3.35131e+07,0,0,0,0,8.36842e+06,150751,0
3.36639e+07,0,0,0,0,8.37108e+06,150799,0
3.38276e+07,0,0,0,0,9.01594e+06,163676,0
3.39913e+07,0,0,0,0,9.01881e+06,163728,0
3.41551e+07,0,0,0,0,9.02168e+06,163780,0
3.43189e+07,0,0,0,0,9.02455e+06,163832,0
3.44828e+07,0,0,0,0,9.02743e+06,163884,0
3.4639e+07,0,0,0,0,8.67253e+06,156204,0
3.47953e+07,0,0,0,0,8.67529e+06,156254,0
3.49516e+07,0,0,0,0,8.67805e+06,156303,0
3.51079e+07,0,0,0,0,8.68081e+06,156353,0
3.52573e+07,0,0,0,0,8.3694e+06,149379,0
3.54067e+07,0,0,0,0,8.37207e+06,149427,0
3.55562e+07,0,0,0,0,8.37473e+06,149474,0
3.57057e+07,0,0,0,0,8.3774e+06,149522,0
3.58405e+07,0,0,0,0,7.64203e+06,134755,0
3.59753e+07,0,0,0,0,7.64446e+06,134798,0
3.61101e+07,0,0,0,0,7.64689e+06,134841,0
3.6245e+07,0,0,0,0,7.64932e+06,134884,0
3.63799e+07,0,0,0,0,7.65175e+06,134927,0
3.65192e+07,0,0,0,0,7.89777e+06,139325,0
3.66586e+07,0,0,0,3.27677e+179,7.90019e+06,139368,0
3.6798e+07,0,0,0,0,7.90261e+06,139410,0
3.69375e+07,0,0,0,0,7.90503e+06,139453,0
3.70932e+07,0,0,0,0,8.75812e+06,155738,0
3.7249e+07,0,0,0,0,8.7608e+06,155785,0
3.74048e+07,0,0,0,0,8.76348e+06,155833,0
3.75607e+07,0,0,0,0,8.76616e+06,155881,0
3.76948e+07,0,0,0,0,7.59336e+06,134039,0
3.78288e+07,0,0,0,0,7.59568e+06,134080,0
3.7963e+07,0,0,0,0,7.59801e+06,134121,0
3.80971e+07,0,0,0,0,7.60033e+06,134162,0
3.82313e+07,0,0,0,0,7.60266e+06,134203,0
3.83709e+07,0,0,0,0,7.89689e+06,139616,0
3.85106e+07,0,0,0,0,7.8993e+06,139658,0
3.86503e+07,0,0,0,0,7.90172e+06,139701,0
3.879e+07,0,0,0,0,7.90414e+06,139744,0
3.89277e+07,0,0,0,0,7.79268e+06,137697,0
3.90655e+07,0,0,0,0,7.79507e+06,137739,0
3.92033e+07,0,0,0,0,7.79745e+06,137781,0
3.93411e+07,0,0,0,0,7.79983e+06,137823,0
3.94863e+07,0,0,0,0,8.19829e+06,145267,0
3.96317e+07,0,0,0,0,8.20079e+06,145312,0
3.9777e+07,0,0,0,0,8.2033e+06,145356,0
3.99224e+07,0,0,0,0,8.20581e+06,145401,0
4.00679e+07,0,0,0,0,8.20832e+06,145445,0
4.02171e+07,0,0,0,0,8.29085e+06,149285,0
4.03665e+07,0,0,0,0,8.29338e+06,149331,0
4.05159e+07,0,0,0,0,8.29592e+06,149376,0
4.06653e+07,0,0,0,0,8.29845e+06,149422,0
4.08184e+07,0,0,0,0,8.49939e+06,153111,0
4.09715e+07,0,0,0,0,8.50198e+06,153158,0
4.11247e+07,0,0,0,0,8.50458e+06,153204,0
4.1278e+07,0,0,0,0,8.50718e+06,153251,0
4.14443e+07,0,0,0,0,9.16239e+06,166335,0
