0.970971,0.074424,312331550.052661,0.002968,0.000000,0.070213
0.959960,0.157933,199310987.100841,0.001006,0.000000,0.070213
0.960961,0.049975,273561654.073701,0.001836,0.000000,0.070213
0.969970,0.049149,309995635.109264,0.002859,0.000000,0.070213
0.970971,0.119169,288356851.408629,0.014188,0.000000,0.070213
0.965966,0.130055,267655429.376237,0.014189,0.000000,0.070213
0.956957,0.107107,190776764.858893,0.000956,0.000000,0.070213
0.969970,0.139314,281326324.992718,0.002041,0.002923,0.070213
0.968969,0.139790,274557837.520748,0.014167,0.000000,0.070213
0.961962,0.058233,273280814.806192,0.001829,0.000000,0.070213
0.959960,0.049725,288297781.005748,0.001985,0.000000,0.070213
0.972973,0.113539,295412611.586848,0.002192,0.000000,0.070213
0.966967,0.049224,306175543.095795,0.003196,0.000000,0.070213
0.957958,0.125776,199048220.224470,0.001011,0.000000,0.070213
0.963964,0.069294,273280814.806192,0.013100,0.000000,0.070213
0.971972,0.085536,305088449.327285,0.002514,0.000000,0.070213
0.974975,0.143694,295412611.586848,0.014839,0.000000,0.070213
0.972973,0.056782,318999434.831182,0.003302,0.000000,0.070213
0.963964,0.093619,274616907.923630,0.014183,0.000000,0.070213
0.959960,0.185235,198736159.147256,0.014190,0.000000,0.070213
0.966967,0.087638,271298188.503335,0.001772,0.000000,0.070213
0.969970,0.106081,286017622.293800,0.001952,0.000000,0.070213
0.965966,0.084685,272823803.657294,0.001815,0.000000,0.070213
0.973974,0.144795,286356002.956476,0.001957,0.000000,0.070213
