0st_vol,0capacity,0net_inf,0st_rof,0lt_rof,0rest_demand,0unrest_demand,0unfulf_demand,0wastewater,0treat_capacity,0cont_fund,0ins_pout,0ins_price,0infra_npv,0debt_serv,0gross_rev,0cont_contrib,0drought_cost,1st_vol,1capacity,1net_inf,1st_rof,1lt_rof,1rest_demand,1unrest_demand,1unfulf_demand,1wastewater,1treat_capacity,1cont_fund,1ins_pout,1ins_price,1infra_npv,1debt_serv,1gross_rev,1cont_contrib,1drought_cost
72.29,72.29,6.11935,0.05,1,2.16737,2.46977,0,0,3.6288,0,0,0,0,0,3.5074e+06,-367234,367234,99.3022,98.274,6.46423,0,1,1.73502,1.43262,0,0,2.1168,897447,0,0,0,0,4.85913e+06,897447,0
72.29,72.29,5.87576,0.05,1,2.18877,2.47044,0,0.406166,3.6288,0,0,0,0,0,3.54204e+06,-336888,336888,99.3022,98.274,8.28856,0,1,1.71467,1.433,0,1.34047,2.1168,1.73683e+06,0,0,0,0,4.80213e+06,839385,0
72.29,72.29,3.73706,0.05,1,2.18982,2.4711,0,0.410176,3.6288,0,0,0,0,0,3.54374e+06,-336304,336304,99.3022,98.274,4.84317,0,1,1.71467,1.43339,0,1.32475,2.1168,2.57515e+06,0,0,0,0,4.80213e+06,838319,0
72.29,72.29,6.83382,0.05,1,2.19087,2.47177,0,0.410373,3.6288,0,0,0,0,0,3.54544e+06,-335720,335720,99.3022,98.274,6.38783,0,1,1.71467,1.43377,0,1.32475,2.1168,3.4124e+06,0,0,0,0,4.80213e+06,837252,0
72.29,72.29,5.65784,0.05,1,2.43308,2.71359,0,0.41057,3.6288,0,0,0,0,0,3.93739e+06,-327812,327812,99.3022,98.274,5.38194,0,1,1.88329,1.60279,0,1.32475,2.1168,4.25454e+06,0,0,0,0,5.27439e+06,842134,0
72.29,72.29,4.16799,0.05,1,2.60282,2.71432,0,0.455959,3.6288,0,0,0,0,0,4.21208e+06,-80624.7,80624.7,99.3022,98.274,4.58321,0,1,1.71471,1.60322,0,1.45503,2.1168,4.62335e+06,0,0,0,0,4.80226e+06,368810,0
72.29,72.29,3.74889,0.05,1,2.60399,2.71505,0,0.487769,3.6288,0,0,0,0,0,4.21396e+06,-79971.7,79971.7,99.3022,98.274,4.05717,0,1,1.71471,1.60365,0,1.32479,2.1168,4.99096e+06,0,0,0,0,4.80226e+06,367617,0
72.29,72.29,4.14518,0.05,1,2.60515,2.71578,0,0.487987,3.6288,0,0,0,0,0,4.21584e+06,-79318.7,79318.7,99.3022,98.274,4.21431,0,1,1.71471,1.60408,0,1.32479,2.1168,5.35739e+06,0,0,0,0,4.80226e+06,366424,0
72.29,72.29,5.86399,0.05,1,2.26197,2.37217,0,0.488205,3.6288,0,0,0,0,0,3.66049e+06,-89121.8,89121.8,99.3022,98.274,5.78788,0,1,1.48817,1.37797,0,1.32479,2.1168,5.71463e+06,0,0,0,0,4.1678e+06,357239,0
72.29,72.29,6.20517,0.05,1,2.07041,2.37281,0,0.423894,3.6288,0,0,0,0,0,3.35049e+06,-370178,370178,99.3022,98.274,6.13911,0,1,1.68074,1.37834,0,1.14976,2.1168,6.61016e+06,0,0,0,0,4.70712e+06,895532,0
72.29,72.29,8.39737,0.05,1,2.07105,2.37345,0,0.387995,3.6288,0,0,0,0,0,3.35153e+06,-370159,370159,99.3022,98.274,8.69956,0,1,1.68111,1.37871,0,1.29854,2.1168,7.5057e+06,0,0,0,0,4.70816e+06,895545,0
72.29,72.29,10.4821,0.05,1,2.07169,2.37409,0,0.388115,3.6288,0,0,0,0,0,3.35256e+06,-370139,370139,99.3022,98.274,10.2565,0,1,1.68148,1.37908,0,1.29883,2.1168,8.40126e+06,0,0,0,0,4.7092e+06,895558,0
