0st_vol,0capacity,0net_inf,0st_rof,0lt_rof,0rest_demand,0unrest_demand,0unfulf_demand,0wastewater,0treat_capacity,0cont_fund,0ins_pout,0ins_price,0infra_npv,0debt_serv,1st_vol,1capacity,1net_inf,1st_rof,1lt_rof,1rest_demand,1unrest_demand,1unfulf_demand,1wastewater,1treat_capacity,1cont_fund,1ins_pout,1ins_price,1infra_npv,1debt_serv
64.9674,72.29,1.32619,0.06,1,2.37334,2.54269,0,0.436484,3.6288,34217.9,0,0,0,0,98.0689,98.274,2.23346,0,1,1.71498,1.54562,0,1.3577,2.1168,2.23361e+07,0,0,0,0
63.3116,72.29,1.20758,0.05,1,2.37518,2.54384,0,0.444764,3.6288,69548.2,0,0,0,0,97.7972,98.274,2.22343,0,1,1.71498,1.54632,0,1.32499,2.1168,2.29311e+07,0,0,0,0
61.5406,72.29,1.09259,0.05,1,2.37703,2.54499,0,0.445109,3.6288,105991,0,0,0,0,97.4048,98.274,1.98723,0,1,1.71498,1.54702,0,1.32499,2.1168,2.35242e+07,0,0,0,0
59.6776,72.29,1.04591,0.06,1,2.43829,2.60556,0,0.445455,3.6288,149960,0,0,0,0,97.0571,98.274,1.74752,0,1,1.7528,1.58553,0,1.32499,2.1168,2.41188e+07,0,0,0,0
57.9291,72.29,1.17921,0.05,1,2.47799,2.60673,0,0.456936,3.6288,248678,0,0,0,0,96.7917,98.274,2.03417,0,1,1.71499,1.58625,0,1.35421,2.1168,2.46089e+07,0,0,0,0
56.0989,72.29,1.09799,0.04,1,2.47988,2.60791,0,0.464375,3.6288,348537,0,0,0,0,96.4634,98.274,2.0823,0,1,1.715,1.58696,0,1.325,2.1168,2.50971e+07,0,0,0,0
54.1856,72.29,1.01515,0.08,1,2.48177,2.60908,0,0.464729,3.6288,449537,0,0,0,0,96.0832,98.274,1.84783,0,1,1.715,1.58768,0,1.32501,2.1168,2.55834e+07,0,0,0,0
51.9105,72.29,0.827211,0.08,1,2.65799,2.78459,0,0.465083,3.6288,570490,0,0,0,0,95.4633,98.274,1.75949,0,1,1.85175,1.72515,0,1.32501,2.1168,2.608e+07,0,0,0,0
49.1934,72.29,0.508831,0.11,1,2.78584,2.78584,0,0.498106,3.6288,871119,0,0,0,0,95.0682,98.274,1.51695,0,1,1.72593,1.72593,0,1.43066,2.1168,2.62328e+07,0,0,0,0
46.6709,72.29,0.702669,0.12,1,2.7871,2.7871,0,0.522067,3.6288,1.17188e+06,0,0,0,0,94.6398,98.274,1.71088,0,1,1.7267,1.7267,0,1.33345,2.1168,2.63857e+07,0,0,0,0
44.4475,72.29,1.02305,0.15,1,2.78835,2.78835,0,0.522302,3.6288,1.47278e+06,0,0,0,0,94.3224,98.274,1.98621,0,1,1.72748,1.72748,0,1.33405,2.1168,2.65386e+07,0,0,0,0
42.0441,72.29,0.834624,0.15,1,2.78961,2.78961,0,0.522537,3.6288,1.77382e+06,0,0,0,0,93.9685,98.274,1.77084,0,1,1.72826,1.72826,0,1.33465,2.1168,2.66916e+07,0,0,0,0
39.7147,72.29,0.831107,0.18,1,2.70571,2.70571,0,0.522772,3.6288,2.0658e+06,0,0,0,0,93.9065,98.274,2.6795,0,1,1.64584,1.64584,0,1.33525,2.1168,2.68373e+07,0,0,0,0
37.3571,72.29,0.73332,0.17,1,2.63849,2.70693,0,0.50705,3.6288,2.26086e+06,0,0,0,0,93.4275,98.274,1.67345,0,1,1.71502,1.64659,0,1.27158,2.1168,2.71689e+07,0,0,0,0
34.8727,72.29,0.605996,0.22,1,2.64045,2.70815,0,0.494453,3.6288,2.4571e+06,0,0,0,0,93.1034,98.274,1.48895,0,1,1.71502,1.64733,0,1.32503,2.1168,2.74986e+07,0,0,0,0
32.8417,72.29,1.12645,0.22,1,2.64241,2.70936,0,0.494821,3.6288,2.65453e+06,0,0,0,0,92.9605,98.274,1.99381,0,1,1.71502,1.64807,0,1.32503,2.1168,2.78263e+07,0,0,0,0
31.4676,72.29,1.72727,0.24,1,2.57435,2.64056,0,0.495188,3.6288,2.84558e+06,0,0,0,0,93.04,98.274,2.53727,0,1,1.63916,1.57295,0,1.32503,2.1168,2.81454e+07,0,0,0,0
30.2855,72.29,1.83472,0.24,1,2.50042,2.64175,0,0.482433,3.6288,2.93023e+06,0,0,0,0,92.9183,98.274,1.90441,0,1,1.71499,1.57365,0,1.26641,2.1168,2.86686e+07,0,0,0,0
30.9863,72.29,3.71712,0.23,1,2.50231,2.64294,0,0.468578,3.6288,3.01601e+06,0,0,0,0,93.347,98.274,4.16357,0,1,1.71499,1.57436,0,1.325,2.1168,2.91898e+07,0,0,0,0
30.4353,72.29,2.46868,0.22,1,2.50421,2.64413,0,0.468933,3.6288,3.10292e+06,0,0,0,0,93.7389,98.274,4.11272,0,1,1.71499,1.57507,0,1.325,2.1168,2.97093e+07,0,0,0,0
29.9189,72.29,2.33481,0.21,1,2.30688,2.44609,0,0.469289,3.6288,3.16946e+06,0,0,0,0,94.0166,98.274,3.1484,0,1,1.55671,1.4175,0,1.325,2.1168,3.02128e+07,0,0,0,0
30.2866,72.29,3.06345,0.21,1,2.15041,2.44719,0,0.43231,3.6288,3.01266e+06,0,0,0,0,94.2692,98.274,3.84715,0,1,1.71492,1.41813,0,1.20271,2.1168,3.11444e+07,0,0,0,0
32.7698,72.29,5.18168,0.22,1,2.15214,2.44829,0,0.402986,3.6288,2.85688e+06,0,0,0,0,94.9137,98.274,4.99764,0,1,1.71492,1.41877,0,1.32494,2.1168,3.20743e+07,0,0,0,0
33.9199,72.29,3.85995,0.22,1,2.15388,2.44939,0,0.403312,3.6288,2.70212e+06,0,0,0,0,95.2476,98.274,3.78343,0,1,1.71492,1.41941,0,1.32494,2.1168,3.30025e+07,0,0,0,0
33.4434,72.29,2.24318,0.21,1,2.15562,2.45049,0,0.403637,3.6288,2.54839e+06,0,0,0,0,95.15,98.274,2.43814,0,1,1.71492,1.42005,0,1.32495,2.1168,3.39291e+07,0,0,0,0
32.7227,72.29,2.0764,0.26,1,2.23413,2.52837,0,0.403963,3.6288,2.40396e+06,0,0,3.45081e+08,0,95.1366,98.274,2.77523,0,1,1.76084,1.46661,0,1.32495,2.1168,3.4858e+07,0,0,9.81816e+07,0
33.1338,72.29,3.25697,0.28,1,2.28179,2.52947,0,0.418676,3.6288,2.32568e+06,0,0,0,0,95.3812,98.274,3.4202,0,1,1.71492,1.46724,0,1.36042,2.1168,3.56606e+07,0,0,0,0
36.0765,72.29,5.79148,0.29,1,2.28353,2.53057,0,0.427608,3.6288,2.24843e+06,0,0,0,0,96.1812,98.274,4.59409,0,1,1.71492,1.46788,0,1.32495,2.1168,3.64614e+07,0,0,0,0
41.8588,72.29,8.64009,0.26,1,2.28527,2.53167,0,0.427934,3.6288,2.1722e+06,0,0,0,0,97.1606,98.274,5.34724,0,1,1.71492,1.46852,0,1.32495,2.1168,3.72606e+07,0,0,0,0
49.0254,72.29,10.272,0.23,1,2.53405,2.77981,0,0.42826,3.6288,2.12365e+06,0,0,0,0,98.1619,98.274,6.00773,0,1,1.88766,1.6419,0,1.32495,2.1168,3.80734e+07,0,0,0,0
50.3417,72.29,4.65809,0.16,1,2.70864,2.78102,0,0.474881,3.6288,2.32111e+06,0,0,0,0,98.433,98.274,3.39398,0,1,1.71499,1.64261,0,1.45841,2.1168,3.84154e+07,0,0,0,0
52.1144,72.29,5.12012,0.16,1,2.71056,2.78223,0,0.507599,3.6288,2.51972e+06,0,0,0,0,98.6094,98.274,3.35837,0,1,1.71499,1.64333,0,1.325,2.1168,3.87555e+07,0,0,0,0
52.683,72.29,3.92303,0.16,1,2.71248,2.78344,0,0.507959,3.6288,2.71946e+06,0,0,0,0,98.7394,98.274,2.80612,0,1,1.71499,1.64404,0,1.325,2.1168,3.90938e+07,0,0,0,0
58.0299,72.29,8.3541,0.17,1,2.36144,2.43167,0,0.508319,3.6288,2.88226e+06,0,0,0,0,99.3022,98.274,6.17627,0,1,1.48277,1.41253,0,1.325,2.1168,3.94096e+07,0,0,0,0
61.8327,72.29,6.61378,0.1,1,2.13098,2.43273,0,0.442533,3.6288,2.71686e+06,0,0,0,0,99.3022,98.274,5.91587,0,1,1.71489,1.41315,0,1.14559,2.1168,4.03542e+07,0,0,0,0
64.9366,72.29,5.9277,0.11,1,2.13265,2.43379,0,0.399346,3.6288,2.55244e+06,0,0,0,0,99.3022,98.274,5.06785,0,1,1.71489,1.41376,0,1.32493,2.1168,4.12972e+07,0,0,0,0
68.9702,72.29,6.86732,0.08,1,2.13432,2.43484,0,0.399659,3.6288,2.38901e+06,0,0,0,0,99.3022,98.274,4.94364,0,1,1.71489,1.41437,0,1.32493,2.1168,4.22386e+07,0,0,0,0
72.0635,72.29,5.94672,0.04,1,2.13599,2.4359,0,0.399972,3.6288,2.22656e+06,0,0,0,0,99.3022,98.274,4.34635,0,1,1.71489,1.41499,0,1.32493,2.1168,4.31783e+07,0,0,0,0
72.29,72.29,7.07829,0.05,1,2.22671,2.526,0,0.400285,3.6288,2.0747e+06,0,0,0,0,99.3022,98.274,5.68345,0,1,1.77183,1.47254,0,1.32493,2.1168,4.41215e+07,0,0,0,0
72.29,72.29,5.2569,0.05,1,2.28535,2.5271,0,0.417285,3.6288,2.00458e+06,0,0,0,0,99.3022,98.274,3.57065,0,1,1.71492,1.47317,0,1.36891,2.1168,4.49085e+07,0,0,0,0
72.29,72.29,4.81131,0.05,1,2.28709,2.52819,0,0.428275,3.6288,1.93548e+06,0,0,0,0,99.2179,98.274,2.97959,0,1,1.71492,1.47381,0,1.32495,2.1168,4.56938e+07,0,0,0,0
72.29,72.29,4.63616,0.05,1,2.28882,2.52929,0,0.4286,3.6288,1.8674e+06,0,0,0,0,99.0914,98.274,2.82955,0,1,1.71492,1.47445,0,1.32495,2.1168,4.64774e+07,0,0,0,0
72.29,72.29,4.14916,0.05,1,2.25568,2.49551,0,0.428925,3.6288,1.79659e+06,0,0,0,0,98.8471,98.274,2.44308,0,1,1.69277,1.45294,0,1.32495,2.1168,4.72574e+07,0,0,0,0
72.29,72.29,3.34037,0.05,1,2.23526,2.49659,0,0.422715,3.6288,1.69539e+06,0,0,0,0,98.6591,98.274,2.05494,0,1,1.71491,1.45357,0,1.30783,2.1168,4.80958e+07,0,0,0,0
72.29,72.29,3.02725,0.05,1,2.23697,2.49768,0,0.418887,3.6288,1.59519e+06,0,0,0,0,98.3877,98.274,1.83052,0,1,1.71491,1.4542,0,1.32494,2.1168,4.89326e+07,0,0,0,0
72.29,72.29,2.93961,0.04,1,2.23868,2.49876,0,0.419208,3.6288,1.49601e+06,0,0,0,0,98.0653,98.274,1.97679,0,1,1.71491,1.45483,0,1.32494,2.1168,4.97677e+07,0,0,0,0
72.1022,72.29,2.74514,0.04,1,2.35898,2.61843,0,0.419529,3.6288,1.41064e+06,0,0,0,0,97.6594,98.274,1.83891,0,1,1.7936,1.53415,0,1.32494,2.1168,5.06082e+07,0,0,0,0
71.9721,72.29,2.86291,0.07,1,2.43943,2.61956,0,0.442073,3.6288,1.43787e+06,0,0,0,0,97.3262,98.274,1.81575,0,1,1.71494,1.53482,0,1.38574,2.1168,5.12332e+07,0,0,0,0
71.5253,72.29,2.54784,0.06,1,2.44123,2.6207,0,0.45715,3.6288,1.46618e+06,0,0,0,0,96.9117,98.274,1.67077,0,1,1.71494,1.53548,0,1.32497,2.1168,5.18566e+07,0,0,0,0
70.9861,72.29,2.40639,0.05,1,2.44303,2.62183,0,0.457487,3.6288,1.49554e+06,0,0,0,0,96.3945,98.274,1.60454,0,1,1.71495,1.53615,0,1.32497,2.1168,5.24781e+07,0,0,0,0
70.3023,72.29,2.26314,0.05,1,2.44484,2.62297,0,0.457825,3.6288,1.52598e+06,0,0,0,0,95.8048,98.274,1.52243,0,1,1.71495,1.53681,0,1.32497,2.1168,5.3098e+07,0,0,0,0
68.8365,72.29,1.44905,0.04,1,2.42313,2.6006,0,0.458162,3.6288,1.55494e+06,0,0,0,0,95.1381,98.274,1.3865,0,1,1.75829,1.58082,0,1.32497,2.1168,5.37199e+07,0,0,0,0
67.2289,72.29,1.351,0.03,1,2.46827,2.60173,0,0.454095,3.6288,1.64644e+06,0,0,0,0,94.4621,98.274,1.34278,0,1,1.71496,1.58151,0,1.35845,2.1168,5.42224e+07,0,0,0,0
65.494,72.29,1.22381,0.05,1,2.47008,2.60285,0,0.462554,3.6288,1.73903e+06,0,0,0,0,93.7004,98.274,1.27701,0,1,1.71496,1.58219,0,1.32498,2.1168,5.4723e+07,0,0,0,0
63.6539,72.29,1.11428,0.05,1,2.47189,2.60398,0,0.462893,3.6288,1.83271e+06,0,0,0,0,92.898,98.274,1.18219,0,1,1.71496,1.58288,0,1.32498,2.1168,5.52219e+07,0,0,0,0
61.7314,72.29,1.06729,0.04,1,2.5345,2.6659,0,0.463232,3.6288,1.93404e+06,0,0,0,0,92.0776,98.274,1.18507,0,1,1.75366,1.62226,0,1.32498,2.1168,5.57224e+07,0,0,0,0
59.802,72.29,1.10023,0.05,1,2.57503,2.66706,0,0.474965,3.6288,2.09135e+06,0,0,0,0,91.3463,98.274,1.29208,0,1,1.71498,1.62296,0,1.35488,2.1168,5.6116e+07,0,0,0,0
57.798,72.29,1.02614,0.04,1,2.57689,2.66821,0,0.482561,3.6288,2.24977e+06,0,0,0,0,90.4613,98.274,1.2215,0,1,1.71498,1.62366,0,1.32499,2.1168,5.65077e+07,0,0,0,0
55.7012,72.29,0.933371,0.08,1,2.57874,2.66936,0,0.482909,3.6288,2.40932e+06,0,0,0,0,89.7335,98.274,1.07609,0,1,1.71498,1.62436,0,1.325,2.1168,5.68976e+07,0,0,0,0
53.5274,72.29,1.02698,0.08,1,2.75895,2.84887,0,0.483257,3.6288,2.58923e+06,0,0,0,0,88.7117,98.274,1.37797,0,1,1.85489,1.76498,0,1.325,2.1168,5.72981e+07,0,0,0,0
51.1627,72.29,0.92416,0.08,1,2.8501,2.8501,0,0.517028,3.6288,2.8968e+06,0,0,0,0,87.6723,98.274,1.03696,0,1,1.76574,1.76574,0,1.43309,2.1168,5.74544e+07,0,0,0,0
48.6854,72.29,0.810994,0.13,1,2.85134,2.85134,0,0.534109,3.6288,3.20449e+06,0,0,0,0,86.6539,98.274,0.994508,0,1,1.7665,1.7665,0,1.36421,2.1168,5.76108e+07,0,0,0,0
46.226,72.29,0.828274,0.12,1,2.85257,2.85257,0,0.53434,3.6288,3.51232e+06,0,0,0,0,85.8201,98.274,1.07577,0,1,1.76726,1.76726,0,1.3648,2.1168,5.77672e+07,0,0,0,0
43.7738,72.29,0.835713,0.17,1,2.8538,2.8538,0,0.534571,3.6288,3.82028e+06,0,0,0,0,85.047,98.274,1.26092,0,1,1.76803,1.76803,0,1.36539,2.1168,5.79238e+07,0,0,0,0
41.7411,72.29,1.11612,0.16,1,2.76792,2.76792,0,0.534802,3.6288,4.11898e+06,0,0,0,0,84.4932,98.274,1.41309,0,1,1.68369,1.68369,0,1.36598,2.1168,5.80728e+07,0,0,0,0
39.6501,72.29,1.11955,0.2,1,2.73853,2.76912,0,0.518709,3.6288,4.37442e+06,0,0,0,0,84.2432,98.274,1.58268,0,1,1.71501,1.68442,0,1.30082,2.1168,5.8305e+07,0,0,0,0
37.7272,72.29,1.29823,0.19,1,2.74045,2.77031,0,0.5132,3.6288,4.63102e+06,0,0,0,0,84.1193,98.274,2.00542,0,1,1.71501,1.68514,0,1.32501,2.1168,5.85353e+07,0,0,0,0
35.7657,72.29,1.25887,0.22,1,2.74237,2.77151,0,0.51356,3.6288,4.88878e+06,0,0,0,0,83.988,98.274,1.99729,0,1,1.71501,1.68587,0,1.32501,2.1168,5.87637e+07,0,0,0,0
33.8966,72.29,1.29696,0.21,1,2.67267,2.70108,0,0.513921,3.6288,5.13997e+06,0,0,0,0,83.8811,98.274,1.98514,0,1,1.63741,1.609,0,1.32501,2.1168,5.89833e+07,0,0,0,0
32.3842,72.29,1.59828,0.22,1,2.59696,2.70225,0,0.500858,3.6288,5.28227e+06,0,0,0,0,83.8861,98.274,1.68157,0,1,1.71497,1.60969,0,1.26506,2.1168,5.94117e+07,0,0,0,0
31.6951,72.29,2.42076,0.23,1,2.59882,2.70341,0,0.486671,3.6288,5.42568e+06,0,0,0,0,84.1857,98.274,3.01451,0,1,1.71497,1.61039,0,1.32499,2.1168,5.98383e+07,0,0,0,0
30.076,72.29,1.49836,0.24,1,2.60069,2.70458,0,0.48702,3.6288,5.57021e+06,0,0,0,0,84.1949,98.274,2.39429,0,1,1.71497,1.61108,0,1.32499,2.1168,6.02631e+07,0,0,0,0
30.2089,72.29,3.08527,0.24,1,2.39877,2.50197,0,0.487368,3.6288,5.69385e+06,0,0,0,0,84.5601,98.274,2.93823,0,1,1.55308,1.44988,0,1.32499,2.1168,6.06717e+07,0,0,0,0
29.6242,72.29,2.19899,0.23,1,2.23865,2.50305,0,0.44953,3.6288,5.589e+06,0,0,0,0,84.7068,98.274,2.97373,0,1,1.71491,1.4505,0,1.19991,2.1168,6.15182e+07,0,0,0,0
28.3867,72.29,1.54656,0.24,1,2.24035,2.50413,0,0.419523,3.6288,5.48515e+06,0,0,0,0,84.8925,98.274,2.21258,0,1,1.71491,1.45113,0,1.32494,2.1168,6.23631e+07,0,0,0,0
29.368,72.29,3.76396,0.28,1,2.24206,2.50521,0,0.419842,3.6288,5.38231e+06,0,0,0,0,86.2856,98.274,5.78134,0,1,1.71491,1.45176,0,1.32494,2.1168,6.32063e+07,0,0,0,0
29.876,72.29,3.29002,0.26,1,2.24376,2.50629,0,0.420162,3.6288,5.28047e+06,0,0,0,0,86.4429,98.274,2.83355,0,1,1.71491,1.45238,0,1.32494,2.1168,6.40478e+07,0,0,0,0
32.1765,72.29,5.14777,0.29,1,2.32399,2.58589,0,0.420481,3.6288,5.18811e+06,0,0,0,0,87.5039,98.274,5.15598,0,1,1.76187,1.49997,0,1.32494,2.1168,6.48919e+07,0,0,0,0
34.8692,72.29,5.59177,0.29,1,2.37266,2.58697,0,0.435516,3.6288,5.16335e+06,0,0,0,0,89.2442,98.274,7.07262,0,1,1.71491,1.5006,0,1.36122,2.1168,6.56068e+07,0,0,0,0
36.7568,72.29,4.79387,0.27,1,2.37437,2.58805,0,0.444637,3.6288,5.1396e+06,0,0,0,0,90.3261,98.274,5.12826,0,1,1.71491,1.50122,0,1.32494,2.1168,6.632e+07,0,0,0,0
38.2449,72.29,4.40004,0.27,1,2.37607,2.58913,0,0.444956,3.6288,5.11686e+06,0,0,0,0,91.3317,98.274,5.22983,0,1,1.71491,1.50185,0,1.32494,2.1168,6.70316e+07,0,0,0,0
39.0564,72.29,3.98912,0.29,1,2.63041,2.84285,0,0.445275,3.6288,5.12238e+06,0,0,0,0,92.0895,98.274,4.56015,0,1,1.89156,1.67913,0,1.32494,2.1168,6.77572e+07,0,0,0,0
39.5537,72.29,3.86889,0.25,1,2.80888,2.84403,0,0.49294,3.6288,5.37944e+06,0,0,0,0,93.0088,98.274,4.50431,0,1,1.71498,1.67983,0,1.46142,2.1168,6.80014e+07,0,0,0,0
