0reliability,1reliability,0afford,1afford,0severity,1severity
1,1,0.0368811,0.02432,0,0
0.995,1,0.0374879,0.0247201,0,0
1,1,0.0380729,0.0251059,0,0
0.985,1,0.0388043,0.0255881,9,0
0.98,1,0.0394804,0.026034,10,0
0.965,1,0.040091,0.0264366,10,0
0.965,1,0.0407372,0.0268627,15,0
0.965,1,0.0413952,0.0272966,13,0
0.955,1,0.0420263,0.0277128,14,0
0.94,1,0.0427128,0.0281655,21,0
0.93,1,0.0433437,0.0285815,21,0
0.935,1,0.0439378,0.0289732,16,0
0.93,1,0.0445283,0.0293626,18,0
0.895,1,0.0450984,0.0297385,24,0
0.86,1,0.0455894,0.0300623,27,0
0.84,1,0.046113,0.0304076,21,0
0.84,1,0.0465292,0.030682,33,0
0.81,1,0.0470928,0.0310536,35,0
0.805,1,0.0475483,0.031354,32,0
0.815,1,0.0479806,0.0316391,41,0
0.77,1,0.0484017,0.0319168,21,0
0.775,1,0.0487733,0.0321618,27,0
0.785,1,0.0490812,0.0323649,52,0
0.77,1,0.0493884,0.0325674,40,0
0.735,1,0.0497589,0.0328117,32,0
0.75,1,0.0499865,0.0329618,40,0
0.755,1,0.0503261,0.0331857,35,0
0.76,1,0.0505137,0.0333094,29,0
0.72,1,0.0507981,0.033497,33,0
0.76,1,0.050997,0.0336282,36,0
0.68,1,0.0511698,0.0337421,30,0
0.685,1,0.0513193,0.0338407,33,0
0.715,1,0.0514457,0.033924,36,0
0.64,1,0.0515486,0.0339919,36,0
0.71,1,0.0516279,0.0340442,37,0
0.69,1,0.051685,0.0340819,31,0
0.71,1,0.051719,0.0341042,30,0
0.74,1,0.0517295,0.0341112,24,0
0.775,1,0.0517165,0.0341026,21,0
0.78,1,0.0516794,0.0340782,28,0
