Realization	utility	WSS	week	infra.
57	0	0	313	8
57	0	0	626	5
57	0	0	1043	9
57	0	0	1408	6
58	0	0	313	8
58	0	0	626	5
58	0	0	834	9
58	0	0	1148	6
58	0	0	1408	10
59	0	0	313	8
59	0	0	626	5
59	0	0	678	9
59	0	0	991	6
59	0	0	1252	10
60	0	0	313	8
60	0	0	626	5
60	0	0	1148	9
60	0	0	1617	6
61	0	0	313	8
61	0	0	626	5
61	0	0	730	9
61	0	0	1043	6
61	0	0	1304	10
62	0	0	313	8
62	0	0	626	5
62	0	0	730	9
62	0	0	1043	6
62	0	0	1304	10
63	0	0	313	8
63	0	0	626	5
63	0	0	1252	9
63	0	0	1826	6
64	0	0	313	8
64	0	0	626	5
64	0	0	1043	9
64	0	0	1408	6
65	0	0	313	8
65	0	0	626	5
65	0	0	991	9
65	0	0	1304	6
65	0	0	1669	10
66	0	0	313	8
66	0	0	626	5
66	0	0	1252	9
66	0	0	1774	6
67	0	0	313	8
67	0	0	626	5
67	0	0	782	9
67	0	0	1095	6
67	0	0	1356	10
68	0	0	313	8
68	0	0	626	5
68	0	0	730	9
68	0	0	1043	6
68	0	0	1304	10
69	0	0	313	8
69	0	0	626	5
69	0	0	1095	9
69	0	0	1513	6
70	0	0	313	8
70	0	0	626	5
70	0	0	730	9
70	0	0	1043	6
70	0	0	1304	10
71	0	0	313	8
71	0	0	626	5
71	0	0	782	9
71	0	0	1095	6
71	0	0	1356	10
72	0	0	313	8
72	0	0	626	5
72	0	0	1043	9
72	0	0	1408	6
72	0	0	2035	10
73	0	0	313	8
73	0	0	626	5
73	0	0	782	9
73	0	0	1095	6
73	0	0	1356	10
74	0	0	313	8
74	0	0	626	5
74	0	0	782	9
74	0	0	1095	6
74	0	0	1356	10
75	0	0	313	8
75	0	0	626	5
75	0	0	678	9
75	0	0	991	6
75	0	0	1252	10
76	0	0	313	8
76	0	0	626	5
76	0	0	834	9
76	0	0	1148	6
76	0	0	1408	10
77	0	0	313	8
77	0	0	626	5
77	0	0	991	9
77	0	0	1304	6
77	0	0	1617	10
78	0	0	313	8
78	0	0	626	5
78	0	0	1095	9
78	0	0	1565	6
79	0	0	313	8
79	0	0	626	5
79	0	0	1304	9
79	0	0	1982	6
80	0	0	313	8
80	0	0	626	5
80	0	0	834	9
80	0	0	1148	6
80	0	0	1408	10
81	0	0	313	8
81	0	0	626	5
81	0	0	887	9
81	0	0	1200	6
81	0	0	1461	10
82	0	0	313	8
82	0	0	626	5
82	0	0	1304	9
82	0	0	2035	6
83	0	0	313	8
83	0	0	626	5
83	0	0	834	9
83	0	0	1148	6
83	0	0	1408	10
84	0	0	313	8
84	0	0	626	5
84	0	0	887	9
84	0	0	1200	6
84	0	0	1461	10
85	0	0	313	8
85	0	0	626	5
85	0	0	1095	9
85	0	0	1565	6
86	0	0	313	8
86	0	0	626	5
86	0	0	1095	9
86	0	0	1565	6
87	0	0	313	8
87	0	0	626	5
87	0	0	991	9
87	0	0	1356	6
87	0	0	1930	10
88	0	0	313	8
88	0	0	626	5
88	0	0	939	9
88	0	0	1252	6
88	0	0	1565	10
89	0	0	313	8
89	0	0	626	5
89	0	0	939	9
89	0	0	1252	6
89	0	0	1513	10
90	0	0	313	8
90	0	0	626	5
90	0	0	1148	9
90	0	0	1669	6
91	0	0	313	8
91	0	0	626	5
91	0	0	678	9
91	0	0	991	6
91	0	0	1252	10
92	0	0	313	8
92	0	0	626	5
92	0	0	991	9
92	0	0	1304	6
92	0	0	1669	10
93	0	0	313	8
93	0	0	626	5
93	0	0	782	9
93	0	0	1095	6
93	0	0	1356	10
94	0	0	313	8
94	0	0	626	5
94	0	0	1043	9
94	0	0	1356	6
95	0	0	313	8
95	0	0	626	5
95	0	0	887	9
95	0	0	1200	6
95	0	0	1461	10
96	0	0	313	8
96	0	0	626	5
96	0	0	1148	9
96	0	0	1669	6
97	0	0	313	8
97	0	0	626	5
97	0	0	887	9
97	0	0	1200	6
97	0	0	1461	10
98	0	0	313	8
98	0	0	626	5
98	0	0	1043	9
98	0	0	1356	6
98	0	0	1617	10
99	0	0	313	8
99	0	0	626	5
99	0	0	887	9
99	0	0	1200	6
99	0	0	1461	10
100	0	0	313	8
100	0	0	626	5
100	0	0	678	9
100	0	0	991	6
100	0	0	1252	10
101	0	0	313	8
101	0	0	626	5
101	0	0	782	9
101	0	0	1095	6
101	0	0	1356	10
102	0	0	313	8
102	0	0	626	5
102	0	0	678	9
102	0	0	991	6
102	0	0	1252	10
103	0	0	313	8
103	0	0	626	5
103	0	0	730	9
103	0	0	1043	6
103	0	0	1304	10
104	0	0	313	8
104	0	0	626	5
104	0	0	1043	9
104	0	0	1461	6
105	0	0	313	8
105	0	0	626	5
105	0	0	1252	9
105	0	0	1982	6
106	0	0	313	8
106	0	0	626	5
106	0	0	1095	9
106	0	0	1513	6
107	0	0	313	8
107	0	0	626	5
107	0	0	1252	9
107	0	0	1930	6
108	0	0	313	8
108	0	0	626	5
108	0	0	678	9
108	0	0	991	6
108	0	0	1252	10
109	0	0	313	8
109	0	0	626	5
109	0	0	730	9
109	0	0	1043	6
109	0	0	1304	10
110	0	0	313	8
110	0	0	626	5
110	0	0	730	9
110	0	0	1043	6
110	0	0	1304	10
111	0	0	313	8
111	0	0	626	5
111	0	0	1148	9
111	0	0	1617	6
112	0	0	313	8
112	0	0	626	5
112	0	0	1252	9
112	0	0	1982	6
113	0	0	313	8
113	0	0	626	5
113	0	0	678	9
113	0	0	991	6
113	0	0	1252	10
114	0	0	313	8
114	0	0	626	5
114	0	0	1148	9
114	0	0	1669	6
115	0	0	313	8
115	0	0	626	5
115	0	0	939	9
115	0	0	1252	6
115	0	0	1513	10
116	0	0	313	8
116	0	0	626	5
116	0	0	678	9
116	0	0	991	6
116	0	0	1252	10
117	0	0	313	8
117	0	0	626	5
117	0	0	939	9
117	0	0	1252	6
117	0	0	1565	10
118	0	0	313	8
118	0	0	626	5
118	0	0	1043	9
118	0	0	1461	6
119	0	0	313	8
119	0	0	626	5
119	0	0	1043	9
119	0	0	1356	6
119	0	0	1617	10
120	0	0	313	8
120	0	0	626	5
120	0	0	939	9
120	0	0	1252	6
120	0	0	1565	10
121	0	0	313	8
121	0	0	626	5
121	0	0	834	9
121	0	0	1148	6
121	0	0	1408	10
122	0	0	313	8
122	0	0	626	5
122	0	0	1252	9
122	0	0	1774	6
123	0	0	313	8
123	0	0	626	5
123	0	0	1252	9
123	0	0	1982	6
124	0	0	313	8
124	0	0	626	5
124	0	0	1148	9
124	0	0	1617	6
125	0	0	313	8
125	0	0	626	5
125	0	0	678	9
125	0	0	991	6
125	0	0	1252	10
126	0	0	313	8
126	0	0	626	5
126	0	0	1252	9
126	0	0	1565	6
127	0	0	313	8
127	0	0	626	5
127	0	0	991	9
127	0	0	1356	6
127	0	0	1878	10
128	0	0	313	8
128	0	0	626	5
128	0	0	1304	9
128	0	0	1982	6
129	0	0	313	8
129	0	0	626	5
129	0	0	678	9
129	0	0	991	6
129	0	0	1252	10
130	0	0	313	8
130	0	0	626	5
130	0	0	1095	9
130	0	0	1513	6
131	0	0	313	8
131	0	0	626	5
131	0	0	782	9
131	0	0	1095	6
131	0	0	1356	10
132	0	0	313	8
132	0	0	626	5
132	0	0	730	9
132	0	0	1043	6
132	0	0	1304	10
133	0	0	313	8
133	0	0	626	5
133	0	0	939	9
133	0	0	1252	6
133	0	0	1565	10
134	0	0	313	8
134	0	0	626	5
134	0	0	730	9
134	0	0	1043	6
134	0	0	1304	10
135	0	0	313	8
135	0	0	626	5
135	0	0	782	9
135	0	0	1095	6
135	0	0	1356	10
136	0	0	313	8
136	0	0	626	5
136	0	0	1356	9
137	0	0	313	8
137	0	0	626	5
137	0	0	678	9
137	0	0	991	6
137	0	0	1252	10
138	0	0	313	8
138	0	0	626	5
138	0	0	834	9
138	0	0	1148	6
138	0	0	1408	10
139	0	0	313	8
139	0	0	626	5
139	0	0	1095	9
139	0	0	1513	6
140	0	0	313	8
140	0	0	626	5
140	0	0	730	9
140	0	0	1043	6
140	0	0	1304	10
141	0	0	313	8
141	0	0	626	5
141	0	0	730	9
141	0	0	1043	6
141	0	0	1304	10
142	0	0	313	8
142	0	0	626	5
142	0	0	678	9
142	0	0	991	6
142	0	0	1252	10
143	0	0	313	8
143	0	0	626	5
143	0	0	730	9
143	0	0	1043	6
143	0	0	1304	10
144	0	0	313	8
144	0	0	626	5
144	0	0	782	9
144	0	0	1095	6
144	0	0	1356	10
145	0	0	313	8
145	0	0	626	5
145	0	0	1095	9
145	0	0	1513	6
146	0	0	313	8
146	0	0	626	5
146	0	0	1095	9
146	0	0	1565	6
147	0	0	313	8
147	0	0	626	5
147	0	0	782	9
147	0	0	1095	6
147	0	0	1356	10
148	0	0	313	8
148	0	0	626	5
148	0	0	730	9
148	0	0	1043	6
148	0	0	1304	10
149	0	0	313	8
149	0	0	626	5
149	0	0	834	9
149	0	0	1148	6
